"First name","Second name","ID"
"GUILLAUME","BRISEBOIS",807
"GUSTAV","BACKSTROM",808
"GUSTAV","FORSLING",809
"GUSTAV","LINDSTROM",810
"GUSTAV","NYQUIST",811
"GUSTAV","OLOFSSON",812
"GUSTAV","RYDAHL",813
"GUY","CARBONNEAU",814
"GUY","LAPOINTE",815
"HADLEY","HARTMETZ",816
"HAL","GILL",817
"HAMPUS","LINDHOLM",818
"HANNAH","BILKA",819
"HANNAH","BRANDT",820
"HANNAH","MILLER",821
"HAROLD","SNEPSTS",822
"HARRISON","BRUNICKE",823
"HARRY","HOWELL",824
"HARRY","NANSI",825
"HAYDEN","HODGSON",826
"HAYDN","FLEURY",827
"HAYLEY","SCAMURRA",828
"HEIKKI","LIEDES",829
"HELGE","GRANS",830
"HENDRIX","LAPIERRE",831
"HENRI","JOKIHARJU",832
"HENRI","RICHARD",833
"HENRIK","SEDIN",834
"HENRIK","TOMMERNES",835
"HENRIK","ZETTERBERG",836
"HENRY","RYBINSKI",837
"HENRY","THRUN",838
"HILARY","KNIGHT",839
"HOWIE","MORENZ",840
"HUGH","MCGING",841
"HUGO","BLIXT",842
"HUGO","FRANSSON",843
"HUGO","GUSTAFSSON",844
"HUGO","LEJON",845
"HUGO","PETTERSSON",846
"HUNTER","BRZUSTEWICZ",847
"HUNTER","DREW",848
"HUNTER","HAIGHT",849
"HUNTER","MCDONALD",850
"HUNTER","MCKOWN",851
"HUNTER","SKINNER",852
"IAN","COLE",853
"IAN","MCKINNON",854
"IAN","MITCHELL",855
"IGOR","LARIONOV",856
"ILYA","LYUBUSHKIN",857
"ILYA","MIKHEYEV",858
"ILYA","SOLOVYOV",859
"ISAAC","BELLIVEAU",860
"ISAAC","RATCLIFFE",861
"ISAAK","PHILLIPS",862
"ISAC","BORN",863
"ISAC","BRANNSTROM",864
"ISAC","HEDQVIST",865
"ISAC","HEENS",866
"ISAC","LUNDESTROM",867
"ISAIAH","GEORGE",868
"ISAK","ROSEN",869
"ISRAEL","MIANSCUM",870
